store,cs_label,workload,size,edits,retention,readers,ok,p50_ms,p90_ms,p99_ms,max_ms,copied_total,meta_total,live_delta,reader_mbs,label,final_hash,logical_bytes,physical_bytes,sharing_ratio,maint_copied,cold_ok,coalesce,locality,edit_size
chunked,65536K,W6,16777216,150,8,0,1,0.0055,0.0153,0.0239,0.0256,1200,0,16840632,0.0,p215,7d65cb35733d83d4,151005520,16849280,8.96,0,-1,none,append,10240
flat,-,W6,16777216,150,8,0,1,7.5213,9.6976,13.7270,14.1055,2516673000,4800,134227368,0.0,p215,7d65cb35733d83d4,151005520,134227104,1.13,0,-1,none,append,10240
chunked,65536K,W6,16777216,150,8,0,1,0.0146,0.0254,0.0598,0.0653,1200,0,16859128,0.0,p215,ee15ef26aeb20a24,151005520,16865520,8.95,0,-1,none,middle,10240
flat,-,W6,16777216,150,8,0,1,6.5260,8.6046,16.0659,19.4404,2516673000,4800,134227368,0.0,p215,ee15ef26aeb20a24,151005520,134227104,1.13,0,-1,none,middle,10240
chunked,65536K,W6,16777216,150,8,0,1,0.0150,0.0222,0.0530,0.0773,1200,0,16859256,0.0,p215,9da67b186d5fb124,151005520,16865632,8.95,0,-1,none,random,10240
flat,-,W6,16777216,150,8,0,1,6.9844,8.3146,13.5669,16.0316,2516673000,4800,134227368,0.0,p215,9da67b186d5fb124,151005520,134227104,1.13,0,-1,none,random,10240
chunked,65536K,W6,16777216,150,8,0,1,0.0132,0.0233,0.0483,0.0585,1200,0,16858744,0.0,p215,a15504525c5c90ac,151005520,16865184,8.95,0,-1,none,hot,10240
flat,-,W6,16777216,150,8,0,1,6.5596,10.0473,13.6763,13.8609,2516673000,4800,134227368,0.0,p215,a15504525c5c90ac,151005520,134227104,1.13,0,-1,none,hot,10240
chunked,65536K,W6,16777216,150,8,0,1,0.0056,0.0137,0.0227,0.0247,1200,0,16840632,0.0,p215,7d65cb35733d83d4,151005520,16849280,8.96,0,-1,none,append,102400
flat,-,W6,16777216,150,8,0,1,8.5934,25.1303,41.3752,50.1270,2516673000,4800,134227368,0.0,p215,7d65cb35733d83d4,151005520,134227104,1.13,0,-1,none,append,102400
chunked,65536K,W6,16777216,150,8,0,1,0.0177,0.0257,0.0674,0.1021,1200,0,16859128,0.0,p215,ee15ef26aeb20a24,151005520,16865520,8.95,0,-1,none,middle,102400
flat,-,W6,16777216,150,8,0,1,9.9771,35.7602,60.2153,67.4263,2516673000,4800,134227368,0.0,p215,ee15ef26aeb20a24,151005520,134227104,1.13,0,-1,none,middle,102400
chunked,65536K,W6,16777216,150,8,0,1,0.0167,0.0253,0.0428,0.2036,1200,0,16859256,0.0,p215,9da67b186d5fb124,151005520,16865632,8.95,0,-1,none,random,102400
flat,-,W6,16777216,150,8,0,1,6.4849,8.2877,11.7200,12.5980,2516673000,4800,134227368,0.0,p215,9da67b186d5fb124,151005520,134227104,1.13,0,-1,none,random,102400
chunked,65536K,W6,16777216,150,8,0,1,0.0152,0.0261,0.0576,2.6631,1200,0,16858744,0.0,p215,a15504525c5c90ac,151005520,16865184,8.95,0,-1,none,hot,102400
flat,-,W6,16777216,150,8,0,1,6.3276,7.7638,10.3266,11.9966,2516673000,4800,134227368,0.0,p215,a15504525c5c90ac,151005520,134227104,1.13,0,-1,none,hot,102400
chunked,65536K,W1,10485760,300,16,0,1,0.0131,0.0215,0.0405,0.0599,3995,0,10668019,0.0,p215,a54a8354d51c14b2,178279800,10682203,16.69,0,-1,none,-,0
chunked,65536K,W1,10485760,300,16,0,1,0.0405,0.0961,0.7504,2.1651,6982777,0,17591014,0.0,p215,a54a8354d51c14b2,178279800,17608366,10.12,0,-1,local,-,0
chunked,65536K,W1,10485760,300,16,0,1,0.0115,0.0151,1.7759,3.2552,3995,0,10689000,0.0,p215,a54a8354d51c14b2,178279800,10710576,16.65,901253,-1,deferred,-,0
chunked,65536K,W1,10485760,300,16,0,1,0.0134,0.0174,0.0720,0.7770,3995,0,10822805,0.0,p215,a54a8354d51c14b2,178279800,10842317,16.44,643284,-1,deferred,-,0
chunked,65536K,W1,10485760,300,16,0,1,0.0149,0.0265,0.5755,2.8255,3995,0,11295551,0.0,p215,a54a8354d51c14b2,178279800,11309687,15.76,616588,-1,deferred,-,0
chunked,65536K,W1,10485760,300,16,0,1,0.0157,0.0235,0.0522,1.1259,3995,0,10668019,0.0,p215,a54a8354d51c14b2,178279800,10682203,16.69,0,-1,deferred,-,0
