build,suite,cell,rep,ms
c,batch,round1,buffer-replace-200,6,0.4382,,
c,batch,round1,sort-10k,0,5.2047,,
c,batch,round1,sort-10k,1,5.5599,,
c,batch,round1,sort-10k,2,6.1495,,
c,batch,round1,sort-10k,3,5.5606,,
c,batch,round1,sort-10k,4,7.0765,,
c,batch,round1,sort-10k,5,7.4971,,
c,batch,round1,sort-10k,6,5.7368,,
c,batch,round1,string-concat-500,0,9.2468,,
c,batch,round1,string-concat-500,1,8.7128,,
c,batch,round1,string-concat-500,2,9.7194,,
c,batch,round1,string-concat-500,3,8.9490,,
c,batch,round1,string-concat-500,4,10.7074,,
c,batch,round1,string-concat-500,5,10.4103,,
c,batch,round1,string-concat-500,6,8.4264,,
c,batch,round1,completion-10k,0,16.1467,,
c,batch,round1,completion-10k,1,14.3864,,
c,batch,round1,completion-10k,2,14.1952,,
c,batch,round1,completion-10k,3,15.2228,,
c,batch,round1,completion-10k,4,14.4579,,
c,batch,round1,completion-10k,5,14.4625,,
c,batch,round1,completion-10k,6,14.7882,,
c,batch,round1,regexp-search-1MB,0,14.1592,,
c,batch,round1,regexp-search-1MB,1,13.4099,,
c,batch,round1,regexp-search-1MB,2,14.0886,,
c,batch,round1,regexp-search-1MB,3,15.7056,,
c,batch,round1,regexp-search-1MB,4,14.2272,,
c,batch,round1,regexp-search-1MB,5,18.6102,,
c,batch,round1,regexp-search-1MB,6,13.8915,,
c,batch,round1,gc-full,0,7.8547,,
c,batch,round1,gc-full,1,7.6437,,
c,batch,round1,gc-full,2,7.3178,,
c,batch,round1,gc-full,3,10.6447,,
c,batch,round1,gc-full,4,8.4167,,
c,batch,round1,gc-full,5,9.6967,,
c,batch,round1,gc-full,6,7.9279,,
a,batch,round2,buffer-insert-1MB,0,11.7545,,
a,batch,round2,buffer-insert-1MB,1,9.5716,,
a,batch,round2,buffer-insert-1MB,2,9.2845,,
a,batch,round2,buffer-insert-1MB,3,10.1695,,
a,batch,round2,buffer-insert-1MB,4,10.4530,,
a,batch,round2,buffer-insert-1MB,5,9.5582,,
a,batch,round2,buffer-insert-1MB,6,9.7446,,
a,batch,round2,buffer-replace-200,0,0.5102,,
a,batch,round2,buffer-replace-200,1,0.3700,,
a,batch,round2,buffer-replace-200,2,0.4089,,
a,batch,round2,buffer-replace-200,3,0.4013,,
a,batch,round2,buffer-replace-200,4,0.5329,,
a,batch,round2,buffer-replace-200,5,0.4413,,
a,batch,round2,buffer-replace-200,6,0.3948,,
a,batch,round2,sort-10k,0,5.4975,,
a,batch,round2,sort-10k,1,7.2966,,
a,batch,round2,sort-10k,2,10.0591,,
a,batch,round2,sort-10k,3,8.0321,,
a,batch,round2,sort-10k,4,16.1979,,
a,batch,round2,sort-10k,5,17.2808,,
a,batch,round2,sort-10k,6,8.2531,,
a,batch,round2,string-concat-500,0,19.7289,,
a,batch,round2,string-concat-500,1,18.9157,,
a,batch,round2,string-concat-500,2,20.3907,,
a,batch,round2,string-concat-500,3,16.0649,,
a,batch,round2,string-concat-500,4,14.6198,,
a,batch,round2,string-concat-500,5,18.6820,,
a,batch,round2,string-concat-500,6,13.9363,,
a,batch,round2,completion-10k,0,31.3027,,
a,batch,round2,completion-10k,1,26.8807,,
a,batch,round2,completion-10k,2,32.0413,,
a,batch,round2,completion-10k,3,25.4428,,
a,batch,round2,completion-10k,4,36.1936,,
a,batch,round2,completion-10k,5,32.4373,,
a,batch,round2,completion-10k,6,18.9662,,
a,batch,round2,regexp-search-1MB,0,16.7356,,
a,batch,round2,regexp-search-1MB,1,23.2713,,
a,batch,round2,regexp-search-1MB,2,25.8083,,
a,batch,round2,regexp-search-1MB,3,22.0833,,
a,batch,round2,regexp-search-1MB,4,21.9643,,
a,batch,round2,regexp-search-1MB,5,23.1588,,
a,batch,round2,regexp-search-1MB,6,22.1984,,
a,batch,round2,gc-full,0,11.6417,,
a,batch,round2,gc-full,1,9.9289,,
a,batch,round2,gc-full,2,13.8869,,
a,batch,round2,gc-full,3,12.1787,,
a,batch,round2,gc-full,4,14.4713,,
a,batch,round2,gc-full,5,10.6690,,
a,batch,round2,gc-full,6,16.1428,,
b,batch,round2,buffer-insert-1MB,0,10.5906,,
b,batch,round2,buffer-insert-1MB,1,11.2226,,
b,batch,round2,buffer-insert-1MB,2,13.4776,,
b,batch,round2,buffer-insert-1MB,3,10.9277,,
b,batch,round2,buffer-insert-1MB,4,10.2768,,
b,batch,round2,buffer-insert-1MB,5,11.9452,,
b,batch,round2,buffer-insert-1MB,6,9.4562,,
b,batch,round2,buffer-replace-200,0,0.4978,,
b,batch,round2,buffer-replace-200,1,0.4203,,
b,batch,round2,buffer-replace-200,2,0.4799,,
b,batch,round2,buffer-replace-200,3,0.6177,,
b,batch,round2,buffer-replace-200,4,0.3908,,
b,batch,round2,buffer-replace-200,5,0.3922,,
b,batch,round2,buffer-replace-200,6,0.3822,,
b,batch,round2,sort-10k,0,5.7464,,
b,batch,round2,sort-10k,1,5.4653,,
b,batch,round2,sort-10k,2,5.4903,,
b,batch,round2,sort-10k,3,5.6899,,
b,batch,round2,sort-10k,4,5.3101,,
b,batch,round2,sort-10k,5,5.4715,,
b,batch,round2,sort-10k,6,5.5199,,
b,batch,round2,string-concat-500,0,9.0363,,
b,batch,round2,string-concat-500,1,9.2423,,
b,batch,round2,string-concat-500,2,9.0523,,
b,batch,round2,string-concat-500,3,10.8981,,
b,batch,round2,string-concat-500,4,10.6804,,
b,batch,round2,string-concat-500,5,8.7888,,
b,batch,round2,string-concat-500,6,10.7200,,
b,batch,round2,completion-10k,0,13.8397,,
b,batch,round2,completion-10k,1,14.1039,,
b,batch,round2,completion-10k,2,14.7500,,
b,batch,round2,completion-10k,3,13.3991,,
b,batch,round2,completion-10k,4,14.2500,,
b,batch,round2,completion-10k,5,13.6750,,
b,batch,round2,completion-10k,6,14.8315,,
b,batch,round2,regexp-search-1MB,0,15.3227,,
b,batch,round2,regexp-search-1MB,1,17.1783,,
b,batch,round2,regexp-search-1MB,2,15.4161,,
b,batch,round2,regexp-search-1MB,3,16.2091,,
b,batch,round2,regexp-search-1MB,4,15.2173,,
b,batch,round2,regexp-search-1MB,5,14.4906,,
b,batch,round2,regexp-search-1MB,6,14.9889,,
b,batch,round2,gc-full,0,8.7564,,
b,batch,round2,gc-full,1,8.9097,,
b,batch,round2,gc-full,2,9.1128,,
b,batch,round2,gc-full,3,8.9808,,
b,batch,round2,gc-full,4,9.7067,,
b,batch,round2,gc-full,5,8.3382,,
b,batch,round2,gc-full,6,8.2982,,
c,batch,round2,buffer-insert-1MB,0,12.5053,,
c,batch,round2,buffer-insert-1MB,1,10.9479,,
