store,cs_label,workload,size,edits,retention,readers,ok,p50_ms,p90_ms,p99_ms,max_ms,copied_total,meta_total,live_delta,reader_mbs,label,final_hash,logical_bytes,physical_bytes,sharing_ratio,maint_copied,cold_ok
chunked,65536K,W2,4096,2000,4,0,1,0.0161,0.0433,0.0640,0.9840,2000,0,201728,0.0,p215,8f63a2c5feff9b74,30474,324440,0.09,0,-1
flat,-,W2,4096,2000,16,0,1,0.0006,0.0010,0.0028,0.0284,10193000,64000,97936,0.0,p215,8f63a2c5feff9b74,103512,97416,1.06,0,-1
chunked,4096K,W2,4096,2000,16,0,1,0.0150,0.0291,0.0464,0.0902,2000,0,642720,0.0,p215,8f63a2c5feff9b74,103512,764104,0.14,0,-1
chunked,65536K,W2,4096,2000,16,0,1,0.0148,0.0311,0.0496,0.1378,2000,0,642720,0.0,p215,8f63a2c5feff9b74,103512,764104,0.14,0,-1
flat,-,W1,16384,2000,1,0,1,0.0097,0.0142,0.0267,0.0768,38948897,64000,22262,0.0,p215,7a1a53408d968280,44444,22222,2.00,0,-1
chunked,4096K,W1,16384,2000,1,0,1,0.0152,0.0262,0.0430,0.2130,25111,0,100411,0.0,p215,7a1a53408d968280,44444,226851,0.20,0,-1
chunked,65536K,W1,16384,2000,1,0,1,0.0145,0.0258,0.0420,0.3055,25111,0,100323,0.0,p215,7a1a53408d968280,44444,226731,0.20,0,-1
flat,-,W1,16384,2000,4,0,1,0.0114,0.0165,0.0305,0.1039,38948897,64000,89060,0.0,p215,7a1a53408d968280,111146,88924,1.25,0,-1
chunked,4096K,W1,16384,2000,4,0,1,0.0149,0.0326,0.0539,0.7108,25111,0,201153,0.0,p215,7a1a53408d968280,111146,327209,0.34,0,-1
chunked,65536K,W1,16384,2000,4,0,1,0.0148,0.0330,0.0530,0.0929,25111,0,201017,0.0,p215,7a1a53408d968280,111146,327041,0.34,0,-1
flat,-,W1,16384,2000,16,0,1,0.0013,0.0027,0.0120,0.0259,38948897,64000,355682,0.0,p215,7a1a53408d968280,377384,355162,1.06,0,-1
chunked,4096K,W1,16384,2000,16,0,1,0.0151,0.0278,0.0531,0.2971,25111,0,602402,0.0,p215,7a1a53408d968280,377384,727146,0.52,0,-1
chunked,65536K,W1,16384,2000,16,0,1,0.0149,0.0264,0.0538,0.1978,25111,0,602074,0.0,p215,7a1a53408d968280,377384,726786,0.52,0,-1
flat,-,W2,16384,2000,1,0,1,0.0087,0.0129,0.0221,0.0924,34769000,64000,18424,0.0,p215,ca5868c223001b73,36768,18384,2.00,0,-1
chunked,4096K,W2,16384,2000,1,0,1,0.0164,0.0298,0.0496,2.7357,2000,0,104552,0.0,p215,ca5868c223001b73,36768,226544,0.16,0,-1
chunked,65536K,W2,16384,2000,1,0,1,0.0152,0.0373,0.0645,0.1996,2000,0,104432,0.0,p215,ca5868c223001b73,36768,226424,0.16,0,-1
flat,-,W2,16384,2000,4,0,1,0.0096,0.0140,0.0292,0.0897,34769000,64000,73666,0.0,p215,ca5868c223001b73,91914,73530,1.25,0,-1
chunked,4096K,W2,16384,2000,4,0,1,0.0164,0.0374,0.0573,0.1108,2000,0,218504,0.0,p215,ca5868c223001b73,91914,340160,0.27,0,-1
chunked,65536K,W2,16384,2000,4,0,1,0.0143,0.0244,0.0338,0.3994,2000,0,218240,0.0,p215,ca5868c223001b73,91914,339896,0.27,0,-1
