store,cs_label,workload,size,edits,retention,readers,ok,p50_ms,p90_ms,p99_ms,max_ms,copied_total,meta_total,live_delta,reader_mbs,label,final_hash,logical_bytes,physical_bytes,sharing_ratio,maint_copied,cold_ok
chunked,65536K,W6,16777216,150,8,0,1,0.0158,0.0226,0.0471,0.3000,150,0,16858206,0.0,p215,45604496a241a622,150996266,16864582,8.95,0,-1
flat,-,W6,16777216,150,8,0,1,7.1116,8.8113,11.5043,14.0022,2516593725,4800,134219164,0.0,p215,45604496a241a622,150996266,134218900,1.13,0,-1
chunked,65536K,W6,16777216,150,8,0,1,0.0156,0.0221,0.0352,0.0600,150,0,16858206,0.0,p215,fd2ed77a8f91b49e,150996266,16864582,8.95,0,-1
flat,-,W6,16777216,150,8,0,1,8.8821,22.8998,45.8320,50.9169,2516593725,4800,134219164,0.0,p215,fd2ed77a8f91b49e,150996266,134218900,1.13,0,-1
chunked,65536K,W6,16777216,150,8,0,1,0.0051,0.0155,0.0537,0.2784,1200,0,16840632,0.0,p215,7d65cb35733d83d4,151005520,16849280,8.96,0,-1
flat,-,W6,16777216,150,8,0,1,15.1666,24.5521,45.9299,54.7933,2516673000,4800,134227368,0.0,p215,7d65cb35733d83d4,151005520,134227104,1.13,0,-1
chunked,65536K,W6,16777216,150,8,0,1,0.0180,0.0255,0.0548,0.0565,1200,0,16859128,0.0,p215,ee15ef26aeb20a24,151005520,16865520,8.95,0,-1
flat,-,W6,16777216,150,8,0,1,11.6166,17.4082,29.4921,32.6667,2516673000,4800,134227368,0.0,p215,ee15ef26aeb20a24,151005520,134227104,1.13,0,-1
chunked,65536K,W6,16777216,150,8,0,1,0.0182,0.0259,0.0575,0.1551,1200,0,16859256,0.0,p215,9da67b186d5fb124,151005520,16865632,8.95,0,-1
flat,-,W6,16777216,150,8,0,1,6.2537,8.3724,9.9492,9.9896,2516673000,4800,134227368,0.0,p215,9da67b186d5fb124,151005520,134227104,1.13,0,-1
chunked,65536K,W6,16777216,150,8,0,1,0.0140,0.0220,0.0423,0.0479,1200,0,16858744,0.0,p215,a15504525c5c90ac,151005520,16865184,8.95,0,-1
flat,-,W6,16777216,150,8,0,1,6.6189,9.5131,12.4329,13.0476,2516673000,4800,134227368,0.0,p215,a15504525c5c90ac,151005520,134227104,1.13,0,-1
chunked,65536K,W6,16777216,150,8,0,1,0.0053,0.0169,0.0800,0.1083,1200,0,16840632,0.0,p215,7d65cb35733d83d4,151005520,16849280,8.96,0,-1
flat,-,W6,16777216,150,8,0,1,8.3713,12.6555,23.0316,25.0141,2516673000,4800,134227368,0.0,p215,7d65cb35733d83d4,151005520,134227104,1.13,0,-1
chunked,65536K,W6,16777216,150,8,0,1,0.0173,0.0272,0.0950,0.2043,1200,0,16859128,0.0,p215,ee15ef26aeb20a24,151005520,16865520,8.95,0,-1
flat,-,W6,16777216,150,8,0,1,11.2508,20.5375,40.6244,53.0062,2516673000,4800,134227368,0.0,p215,ee15ef26aeb20a24,151005520,134227104,1.13,0,-1
chunked,65536K,W6,16777216,150,8,0,1,0.0172,0.0246,0.0449,0.0688,1200,0,16859256,0.0,p215,9da67b186d5fb124,151005520,16865632,8.95,0,-1
flat,-,W6,16777216,150,8,0,1,8.0519,19.5775,26.1636,26.8290,2516673000,4800,134227368,0.0,p215,9da67b186d5fb124,151005520,134227104,1.13,0,-1
chunked,65536K,W6,16777216,150,8,0,1,0.0177,0.0271,0.0478,0.1249,1200,0,16858744,0.0,p215,a15504525c5c90ac,151005520,16865184,8.95,0,-1
flat,-,W6,16777216,150,8,0,1,5.9402,7.0974,11.5213,12.1158,2516673000,4800,134227368,0.0,p215,a15504525c5c90ac,151005520,134227104,1.13,0,-1
chunked,65536K,W6,16777216,150,8,0,1,0.0060,0.0159,0.0296,0.0362,1200,0,16840632,0.0,p215,7d65cb35733d83d4,151005520,16849280,8.96,0,-1
flat,-,W6,16777216,150,8,0,1,7.7000,13.5890,25.1410,25.3633,2516673000,4800,134227368,0.0,p215,7d65cb35733d83d4,151005520,134227104,1.13,0,-1
chunked,65536K,W6,16777216,150,8,0,1,0.0121,0.0227,0.0951,0.2965,1200,0,16859128,0.0,p215,ee15ef26aeb20a24,151005520,16865520,8.95,0,-1
flat,-,W6,16777216,150,8,0,1,6.7680,10.3866,13.5904,14.1637,2516673000,4800,134227368,0.0,p215,ee15ef26aeb20a24,151005520,134227104,1.13,0,-1
chunked,65536K,W6,16777216,150,8,0,1,0.0131,0.0192,0.0275,0.0296,1200,0,16859256,0.0,p215,9da67b186d5fb124,151005520,16865632,8.95,0,-1
flat,-,W6,16777216,150,8,0,1,6.8457,13.7280,21.0116,24.5627,2516673000,4800,134227368,0.0,p215,9da67b186d5fb124,151005520,134227104,1.13,0,-1
chunked,65536K,W6,16777216,150,8,0,1,0.0165,0.0274,0.2254,0.2560,1200,0,16858744,0.0,p215,a15504525c5c90ac,151005520,16865184,8.95,0,-1
flat,-,W6,16777216,150,8,0,1,7.2033,9.6779,18.3914,18.4952,2516673000,4800,134227368,0.0,p215,a15504525c5c90ac,151005520,134227104,1.13,0,-1
chunked,65536K,W6,16777216,150,8,0,1,0.0057,0.0148,0.0229,0.0240,1200,0,16840632,0.0,p215,7d65cb35733d83d4,151005520,16849280,8.96,0,-1
flat,-,W6,16777216,150,8,0,1,6.5639,7.7402,9.4996,10.3150,2516673000,4800,134227368,0.0,p215,7d65cb35733d83d4,151005520,134227104,1.13,0,-1
chunked,65536K,W6,16777216,150,8,0,1,0.0141,0.0209,0.0258,0.0260,1200,0,16859128,0.0,p215,ee15ef26aeb20a24,151005520,16865520,8.95,0,-1
flat,-,W6,16777216,150,8,0,1,7.1532,10.7431,18.2406,22.2664,2516673000,4800,134227368,0.0,p215,ee15ef26aeb20a24,151005520,134227104,1.13,0,-1
chunked,65536K,W6,16777216,150,8,0,1,0.0153,0.0238,0.0597,0.8995,1200,0,16859256,0.0,p215,9da67b186d5fb124,151005520,16865632,8.95,0,-1
flat,-,W6,16777216,150,8,0,1,7.1910,9.1161,11.4918,12.2977,2516673000,4800,134227368,0.0,p215,9da67b186d5fb124,151005520,134227104,1.13,0,-1
chunked,65536K,W6,16777216,150,8,0,1,0.0174,0.0247,0.0554,0.0661,1200,0,16858744,0.0,p215,a15504525c5c90ac,151005520,16865184,8.95,0,-1
flat,-,W6,16777216,150,8,0,1,8.8971,16.7539,19.9067,20.7170,2516673000,4800,134227368,0.0,p215,a15504525c5c90ac,151005520,134227104,1.13,0,-1
chunked,65536K,W6,16777216,150,8,0,1,0.0056,0.0138,0.0307,0.0413,1200,0,16840632,0.0,p215,7d65cb35733d83d4,151005520,16849280,8.96,0,-1
flat,-,W6,16777216,150,8,0,1,6.0395,7.0248,9.8433,10.8387,2516673000,4800,134227368,0.0,p215,7d65cb35733d83d4,151005520,134227104,1.13,0,-1
chunked,65536K,W6,16777216,150,8,0,1,0.0166,0.0267,0.4108,0.7650,1200,0,16859128,0.0,p215,ee15ef26aeb20a24,151005520,16865520,8.95,0,-1
flat,-,W6,16777216,150,8,0,1,7.3774,12.8620,18.9907,20.1291,2516673000,4800,134227368,0.0,p215,ee15ef26aeb20a24,151005520,134227104,1.13,0,-1
chunked,65536K,W6,16777216,150,8,0,1,0.0164,0.0244,0.2258,3.4895,1200,0,16859256,0.0,p215,9da67b186d5fb124,151005520,16865632,8.95,0,-1
flat,-,W6,16777216,150,8,0,1,20.8515,33.0099,60.9447,67.3512,2516673000,4800,134227368,0.0,p215,9da67b186d5fb124,151005520,134227104,1.13,0,-1
chunked,65536K,W6,16777216,150,8,0,1,0.0167,0.0278,0.0601,0.6875,1200,0,16858744,0.0,p215,a15504525c5c90ac,151005520,16865184,8.95,0,-1
flat,-,W6,16777216,150,8,0,1,9.5351,18.0848,37.0260,40.6033,2516673000,4800,134227368,0.0,p215,a15504525c5c90ac,151005520,134227104,1.13,0,-1
chunked,65536K,W1,10485760,300,16,0,1,0.0192,0.0320,0.2677,9.5588,3995,0,10668019,0.0,p215,a54a8354d51c14b2,178279800,10682203,16.69,0,-1
chunked,65536K,W1,10485760,300,16,0,1,0.0409,0.0752,0.4974,2.8629,6982777,0,17591014,0.0,p215,a54a8354d51c14b2,178279800,17608366,10.12,0,-1
chunked,65536K,W1,10485760,300,16,0,1,0.0101,0.0145,0.0247,0.0577,3995,0,10689000,0.0,p215,a54a8354d51c14b2,178279800,10710576,16.65,901253,-1
chunked,65536K,W1,10485760,300,16,0,1,0.0098,0.0147,0.0368,0.2058,3995,0,10822805,0.0,p215,a54a8354d51c14b2,178279800,10842317,16.44,643284,-1
chunked,65536K,W1,10485760,300,16,0,1,0.0119,0.0203,0.0415,0.1061,3995,0,11295551,0.0,p215,a54a8354d51c14b2,178279800,11309687,15.76,616588,-1
chunked,65536K,W1,10485760,300,16,0,1,0.0121,0.0189,0.0329,0.3959,3995,0,10668019,0.0,p215,a54a8354d51c14b2,178279800,10682203,16.69,0,-1
chunked,65536K,W1,1048576,300,128,0,1,0.0090,0.0167,0.0292,0.0319,3995,0,1921443,0.0,p215,c527403b08c3e836,135410501,1924315,70.37,0,1
flat,-,W1,1048576,300,128,0,1,0.3824,0.4309,0.5203,0.7338,314810995,9600,134364752,0.0,p215,c527403b08c3e836,135410501,134360648,1.01,0,1
chunked,65536K,W1,1048576,300,1,0,1,0.0052,0.0091,0.0206,0.0318,3995,0,1066419,0.0,p215,c527403b08c3e836,2099706,1082155,1.94,0,-1
flat,-,W1,1048576,300,1,0,1,0.3941,0.4628,0.6268,0.9472,314810995,9600,1049893,0.0,p215,c527403b08c3e836,2099706,1049853,2.00,0,-1
chunked,65536K,W1,1048576,300,4,0,1,0.0057,0.0097,0.0239,0.0255,3995,0,1091667,0.0,p215,c527403b08c3e836,5249241,1107083,4.74,0,-1
flat,-,W1,1048576,300,4,0,1,0.4040,0.4651,0.6060,0.6483,314810995,9600,4199524,0.0,p215,c527403b08c3e836,5249241,4199388,1.25,0,-1
chunked,65536K,W1,1048576,300,8,0,1,0.0058,0.0132,0.0305,0.0659,3995,0,1124995,0.0,p215,c527403b08c3e836,9448640,1139995,8.29,0,-1
flat,-,W1,1048576,300,8,0,1,0.4715,0.6150,1.8521,3.3845,314810995,9600,8399051,0.0,p215,c527403b08c3e836,9448640,8398787,1.13,0,-1
chunked,65536K,W1,1048576,300,16,0,1,0.0065,0.0152,0.0423,0.7837,3995,0,1190515,0.0,p215,c527403b08c3e836,17847672,1204699,14.82,0,-1
flat,-,W1,1048576,300,16,0,1,0.4961,0.9886,2.7153,3.3205,314810995,9600,16798339,0.0,p215,c527403b08c3e836,17847672,16797819,1.06,0,-1
chunked,65536K,W1,1048576,300,32,0,1,0.0070,0.0175,0.0299,0.2274,3995,0,1316051,0.0,p215,c527403b08c3e836,34645187,1328651,26.08,0,-1
flat,-,W1,1048576,300,32,0,1,0.5027,1.2065,3.4046,3.8887,314810995,9600,33596366,0.0,p215,c527403b08c3e836,34645187,33595334,1.03,0,-1
chunked,65536K,W1,1048576,300,64,0,1,0.0087,0.0204,0.0371,0.0457,3995,0,1544867,0.0,p215,c527403b08c3e836,68235239,1554299,43.90,0,-1
flat,-,W1,1048576,300,64,0,1,0.5180,0.7768,1.5563,3.0379,314810995,9600,67187442,0.0,p215,c527403b08c3e836,68235239,67185386,1.02,0,-1
chunked,65536K,W1,1048576,300,128,0,1,0.0101,0.0233,0.0779,2.4978,3995,0,1921443,0.0,p215,c527403b08c3e836,135410501,1924315,70.37,0,-1
flat,-,W1,1048576,300,128,0,1,0.5025,3.9859,6.6652,7.5671,314810995,9600,134364752,0.0,p215,c527403b08c3e836,135410501,134360648,1.01,0,-1
