C,1787716739,38276
C,1787716799,41332
C,1787716859,42136
C,1787716919,42208
C,1787716979,42328
C,1787717039,42432
C,1787717099,42824
C,1787717160,42948
C,1787717220,43076
C,1787717280,43676
C,1787717340,44060
C,1787717400,44104
C,1787717460,44104
C,1787717520,44104
C,1787717580,44552
C,1787717640,44628
C,1787717700,44628
C,1787717760,44724
C,1787717820,50264
C,1787717880,44768
C,1787717940,44792
C,1787718000,44792
C,1787718060,44796
C,1787718120,44832
C,1787718180,44848
C,1787718240,44880
C,1787718300,44912
C,1787718361,44964
C,1787718421,45044
C,1787718481,45080
C,1787718541,45108
C,1787718601,45120
C,1787718661,45128
C,1787718721,45580
C,1787718781,46108
C,1787718841,46108
C,1787718901,46108
C,1787718961,48744
C,1787719021,46108
C,1787719081,46108
C,1787719141,55540
C,1787719201,46108
C,1787719261,46108
C,1787719321,46108
C,1787719381,46108
C,1787719441,46108
C,1787719501,46108
C,1787719561,46736
C,1787719621,46896
C,1787719681,46904
C,1787719742,46928
C,1787719802,46952
C,1787719862,46996
C,1787719922,47096
C,1787719982,47096
C,1787720042,47116
C,1787720102,47260
C,1787720162,47284
C,1787720222,47352
C,1787720282,47372
C,1787720342,47372
C,1787720402,62104
C,1787720462,69076
C,1787720522,47540
C,1787720582,47588
C,1787720643,47652
C,1787720703,47652
C,1787720763,48148
C,1787720823,48264
C,1787720883,48400
C,1787720943,48436
C,1787721003,48440
C,1787721063,48464
C,1787721123,48492
C,1787721183,48512
C,1787721243,48536
C,1787721303,48620
C,1787721363,48644
C,1787721423,74376
C,1787721483,48696
C,1787721543,48696
C,1787721603,48696
C,1787721663,48696
C,1787721723,48696
C,1787721783,48696
C,1787721843,48944
C,1787721904,49192
C,1787721964,49216
C,1787722024,49416
C,1787722084,49464
C,1787722144,50520
C,1787722204,64924
C,1787722264,49608
C,1787722324,49636
C,1787722384,49644
C,1787722444,49656
C,1787722504,49656
C,1787722564,49656
C,1787722624,49656
C,1787722684,49656
C,1787722744,49656
C,1787722804,83576
C,1787722864,49656
C,1787722924,49872
C,1787722984,69456
C,1787723044,50208
C,1787723104,50208
C,1787723164,50208
C,1787723224,50256
C,1787723284,50344
C,1787723344,65316
C,1787723404,50408
C,1787723464,50472
C,1787723524,50472
C,1787723585,50492
C,1787723645,50496
C,1787723705,61824
C,1787723765,50564
C,1787723825,50580
C,1787723885,50764
D,1787723965,39644
D,1787724026,40936
D,1787724086,43156
D,1787724146,43228
D,1787724206,43380
D,1787724266,43564
