build,suite,cell,rep,ms
b,tty,round2,R0-noop|5|0.1025
b,tty,round2,R0-noop|6|0.0899
b,tty,round2,R0-noop|7|0.0846
b,tty,round2,R0-noop|8|0.0920
b,tty,round2,R0-noop|9|0.0899
b,tty,round2,R1-text-edit|0|1.9152
b,tty,round2,R1-text-edit|1|1.7395
b,tty,round2,R1-text-edit|2|5.9645
b,tty,round2,R1-text-edit|3|2.3792
b,tty,round2,R1-text-edit|4|1.8771
b,tty,round2,R1-text-edit|5|1.9302
b,tty,round2,R1-text-edit|6|1.7211
b,tty,round2,R1-text-edit|7|1.1446
b,tty,round2,R1-text-edit|8|2.0435
b,tty,round2,R1-text-edit|9|2.9614
b,tty,round2,R2-popup-10|0|2.0604
b,tty,round2,R2-popup-10|1|2.1167
b,tty,round2,R2-popup-10|2|1.8682
b,tty,round2,R2-popup-10|3|1.6279
b,tty,round2,R2-popup-10|4|2.1033
b,tty,round2,R2-popup-10|5|1.8764
b,tty,round2,R2-popup-10|6|2.2712
b,tty,round2,R2-popup-10|7|1.4465
b,tty,round2,R2-popup-10|8|0.9551
b,tty,round2,R2-popup-10|9|0.9725
c,tty,round2,R0-noop|0|0.1025
c,tty,round2,R0-noop|1|0.0830
c,tty,round2,R0-noop|2|0.1078
c,tty,round2,R0-noop|3|0.0722
c,tty,round2,R0-noop|4|0.0606
c,tty,round2,R0-noop|5|0.0546
c,tty,round2,R0-noop|6|0.0539
c,tty,round2,R0-noop|7|0.1383
c,tty,round2,R0-noop|8|0.0880
c,tty,round2,R0-noop|9|0.1242
c,tty,round2,R1-text-edit|0|1.7006
c,tty,round2,R1-text-edit|1|1.8520
c,tty,round2,R1-text-edit|2|1.9958
c,tty,round2,R1-text-edit|3|1.0848
c,tty,round2,R1-text-edit|4|1.9648
c,tty,round2,R1-text-edit|5|2.1901
c,tty,round2,R1-text-edit|6|3.3493
c,tty,round2,R1-text-edit|7|1.5597
c,tty,round2,R1-text-edit|8|1.8940
c,tty,round2,R1-text-edit|9|1.6928
c,tty,round2,R2-popup-10|0|1.7576
c,tty,round2,R2-popup-10|1|1.6642
c,tty,round2,R2-popup-10|2|4.1430
c,tty,round2,R2-popup-10|3|1.8418
c,tty,round2,R2-popup-10|4|1.5991
c,tty,round2,R2-popup-10|5|1.7159
c,tty,round2,R2-popup-10|6|1.8430
c,tty,round2,R2-popup-10|7|1.1809
c,tty,round2,R2-popup-10|8|1.0216
c,tty,round2,R2-popup-10|9|3.1588
a,tty,round3,R0-noop|0|0.1066
a,tty,round3,R0-noop|1|0.0563
a,tty,round3,R0-noop|2|0.0522
a,tty,round3,R0-noop|3|0.0618
a,tty,round3,R0-noop|4|0.0632
a,tty,round3,R0-noop|5|0.0627
a,tty,round3,R0-noop|6|0.0706
a,tty,round3,R0-noop|7|0.0858
a,tty,round3,R0-noop|8|0.0665
a,tty,round3,R0-noop|9|0.0703
a,tty,round3,R1-text-edit|0|1.1332
a,tty,round3,R1-text-edit|1|1.0786
a,tty,round3,R1-text-edit|2|1.0474
a,tty,round3,R1-text-edit|3|1.0452
a,tty,round3,R1-text-edit|4|1.0571
a,tty,round3,R1-text-edit|5|1.5593
a,tty,round3,R1-text-edit|6|1.8995
a,tty,round3,R1-text-edit|7|1.8098
a,tty,round3,R1-text-edit|8|1.7009
a,tty,round3,R1-text-edit|9|1.7598
a,tty,round3,R2-popup-10|0|1.1532
a,tty,round3,R2-popup-10|1|2.1470
a,tty,round3,R2-popup-10|2|3.3042
a,tty,round3,R2-popup-10|3|1.1063
a,tty,round3,R2-popup-10|4|1.9584
a,tty,round3,R2-popup-10|5|1.6067
a,tty,round3,R2-popup-10|6|1.6463
a,tty,round3,R2-popup-10|7|1.7097
a,tty,round3,R2-popup-10|8|2.6608
a,tty,round3,R2-popup-10|9|0.9727
b,tty,round3,R0-noop|0|0.0844
b,tty,round3,R0-noop|1|0.0527
b,tty,round3,R0-noop|2|0.0367
b,tty,round3,R0-noop|3|0.0331
b,tty,round3,R0-noop|4|0.0341
b,tty,round3,R0-noop|5|0.0346
b,tty,round3,R0-noop|6|0.0322
b,tty,round3,R0-noop|7|0.0317
b,tty,round3,R0-noop|8|0.0317
b,tty,round3,R0-noop|9|0.0312
b,tty,round3,R1-text-edit|0|1.0076
b,tty,round3,R1-text-edit|1|0.9484
b,tty,round3,R1-text-edit|2|1.7912
b,tty,round3,R1-text-edit|3|2.3270
b,tty,round3,R1-text-edit|4|1.8530
b,tty,round3,R1-text-edit|5|1.5309
b,tty,round3,R1-text-edit|6|1.0645
b,tty,round3,R1-text-edit|7|1.0040
b,tty,round3,R1-text-edit|8|1.0636
b,tty,round3,R1-text-edit|9|1.0061
b,tty,round3,R2-popup-10|0|1.8554
b,tty,round3,R2-popup-10|1|1.4493
b,tty,round3,R2-popup-10|2|1.2193
b,tty,round3,R2-popup-10|3|0.9911
b,tty,round3,R2-popup-10|4|1.0631
b,tty,round3,R2-popup-10|5|0.8924
b,tty,round3,R2-popup-10|6|0.9153
b,tty,round3,R2-popup-10|7|0.9408
b,tty,round3,R2-popup-10|8|0.9000
b,tty,round3,R2-popup-10|9|0.9112
c,tty,round3,R0-noop|0|0.0682
c,tty,round3,R0-noop|1|0.0668
c,tty,round3,R0-noop|2|0.0405
c,tty,round3,R0-noop|3|0.0744
c,tty,round3,R0-noop|4|0.0455
c,tty,round3,R0-noop|5|0.0346
c,tty,round3,R0-noop|6|0.0451
c,tty,round3,R0-noop|7|0.0367
c,tty,round3,R0-noop|8|0.0339
c,tty,round3,R0-noop|9|0.0329
c,tty,round3,R1-text-edit|0|1.0016
c,tty,round3,R1-text-edit|1|0.9563
c,tty,round3,R1-text-edit|2|1.0734
c,tty,round3,R1-text-edit|3|1.0707
c,tty,round3,R1-text-edit|4|1.0097
c,tty,round3,R1-text-edit|5|1.0314
c,tty,round3,R1-text-edit|6|2.0080
c,tty,round3,R1-text-edit|7|1.5440
c,tty,round3,R1-text-edit|8|1.0509
c,tty,round3,R1-text-edit|9|1.1451
c,tty,round3,R2-popup-10|0|1.1473
c,tty,round3,R2-popup-10|1|0.9778
c,tty,round3,R2-popup-10|2|0.9632
c,tty,round3,R2-popup-10|3|0.9270
c,tty,round3,R2-popup-10|4|0.9770
c,tty,round3,R2-popup-10|5|0.9606
c,tty,round3,R2-popup-10|6|1.4865
c,tty,round3,R2-popup-10|7|1.9219
c,tty,round3,R2-popup-10|8|1.6165
c,tty,round3,R2-popup-10|9|0.9489
